Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Confidence Level),Custom field (Development),Custom field (Epic Link),Custom field (Raised During),Custom field (Rank),Sprint,Custom field (Test Sessions),Custom field (Testing Status),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment
"Editorial team can manage licensee urls, users, etc.",CGAA-338,15156,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kay v,kay v,29/Dec/14 12:44 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,discuss_with_webhost,,"As an editorial team member, I have a clear process for adding / confirming / modifying / removing components that fulfill a licensing agreement
- urls / codebases
- licensee access",,kay v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-7,,1|i005br:,,,,,,,,
"reliably roll out to up to 50 institutions, maintain",CGAA-292,15110,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kay v,kay v,20/Dec/14 2:04 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,discuss_with_webhost,,"deployment strategies in regards to roll out and maintenance 

As hosting provider, I can guarantee reliable service to each GAA website across all licensees.

As site owner, I can understand and charge licensees according to individualized metrics.",,kay v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-7,,1|i005bj:,,,,,,,,
GAA licensee can add re-usable local links,CGAA-274,14800,Story,Reopened,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,07/Dec/14 7:36 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,"As a GAA licensee 
I can add my own local links to a library of local resources
so the local links can be pulled from the library to be associated with one or more Q&As",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3=Possible,{},CGAA-7,,1|i005bb:,,,,,,,,
GAA maintains control over GAA content,CGAA-122,11886,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kay v,kay v,02/May/14 2:03 AM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,"As GAA I maintain complete control over GAA content

Licensees can add, create, update and delete domain content (content related specifically to the licensee's organization, e.g. contact information for its own health services)

Go Ask Alice has complete control over GAA content, e.g. reader questions, reader responses, polls, etc.",,kay v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3=Possible,{},CGAA-7,,1|i005b3:,,,,,,,,
Columbia's primary care links electronic health record,CGAA-350,15168,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kay v,kay v,08/Jan/15 10:04 AM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,confirm_with_client,,"As Columbia's primary care service [[role e.g. patient education coordinator]]
I can link the electronic health record to GAA!, 
enabling providers to share relevant questions with patients",,kay v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-113,,1|i005av:,,,,,,,,
Search for related Q&As returns published content,CGAA-276,14900,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,07/Dec/14 10:28 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,"As an anonymous site user using the search function
when I search for related q&as
only published content should be returned
",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1=High,{},CGAA-113,,1|i005an:,,,,,,,,
Change content causing errors in current site,CGAA-254,13912,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,25/Sep/14 4:16 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,"As a manager, I've encountered errors with questions where the content of the submisions (research documents, writer document, edited documents, etc) get switched within the CMS.
When this happens, the cause is typically due to using Internet Explorer (which the current CMS is not optimized for, so errors are common, and thus, anyone accessing the CMS is strongly advised to only use Firefox). However, we've also had two different assigned submissions get mixed up — meaning at some point (we don't know how), word documents and other information attached to one assigned submission then get added to another entirely different submission. Most recently, this happened while using Firefox, so we have no idea how it happened. The problem was caught by the manager, as both assigned submissions were in the ""editor — processed"" queue. The submissions in questions are ""Mucus in stool harmful?"" (NID: 367972) and ""Goji berries — Superfood? Scam? Safe?"" (NID: 368392). Currently, the ""Mucus in stool harmful?"" question has all of the research, writer, and editor documents for ""Goji berries — Superfood, scam, safe?"" question. It even has the same title (Goji berries) when you search for it in the CMS. However, you can tell there's an error because the comments are not the same and when you click on the live question ID link, it takes you to the ""Mucus in stool harmful?"" live published question. The actual ""Goji berries"" question remains in tact with no error. The other clue that something was awry was the submission histories for both questions (see attached). On the same day, near the same time, it has me, the manager, reassigning and uploading all the Goji berry documents to the Mucus in Stool question (which I did not do). The purpose of mentioning this is that this is not an isolated bug, we've seen it happen at least 5 to 10 times. We are concerned that the migration of all the data we have may also see this bug occur again. ",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,25/Sep/14 4:16 PM;kathlynw;Goji berry_mucus in stool mix up.JPG;https://ownsourcing.atlassian.net/secure/attachment/12500/Goji+berry_mucus+in+stool+mix+up.JPG,,,,3.0,4=Unknown,{},CGAA-113,,1|i005af:,,,,,,,,
Browser Compatability,CGAA-251,13443,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,27/Aug/14 11:24 AM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,"As a person using any internet browser with > 20% of the market share or using Internet Explorer >= 10, I can access the GAA site and perform all functionality available to an anonymous user. ",,kay v,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-113,,1|i005a7:,,,,2015-07-01 21:02:21.492,"01/Jul/15 5:02 PM;kay v;let's get more specific than just 20%; [~cfh2120] and [~Jason B], what would you recommend?",,,
Question associated with multiple categories,CGAA-547,15646,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,16/Feb/15 10:49 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,"As a editorial team member
I can associate a reader question with multiple categories
in order to have the question reach all audiences searching for that type of information",,leslieg,,,,,,,,,,,,,CGAA-504,,,,,,,,,,,,,,,,,,3.0,1=High,{},CGAA-113,,1|i0059z:,,,,,,,,
Site administrator creates a theme,CGAA-195,12139,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,14/May/14 12:20 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,,,amanda,kathlynw,kay v,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3=Possible,{},CGAA-113,,1|i0059r:,,,,2014-05-19 19:53:25.955,"19/May/14 3:53 PM;kathlynw;As a site administrator, I create themes by creating a theme and choosing a set of related Q&As from the live site. Themes are often created based on events that are event or time specific (graduation, finals, Valentine's Day, recent measles outbreak, etc.) to share additional information.
Themes can also be created as curated collections of related Q&As that speak to a common theme and are unrelated to specific events (ex. ""Tummy Grumblings"" or ""Smell You Later!"")

When questions are assembled for the week's theme, the manager makes any necessary updates to make question current.","20/May/14 12:38 PM;amanda;It's often beneficial to have other team members work on themes, too. As a manager, creating the theme week after week can be tedious and we run out of ideas. Having the ability for other Go Ask Alice! team members to work on a theme within the CMS might be helpful. Currently, if a team member has a theme idea or is assigned to work on themes, s/he will either email Katie the idea or record the idea with proposed Q&As into an excel spreadsheet.",21/May/14 8:05 AM;kay v;Noted - thanks!,
Administrator chooses quizzes to display in Quick Quiz block,CGAA-181,12124,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,13/May/14 9:23 AM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,As an administrator of the Go Ask Alice website I would like to choose which quick quizzes to display in the Quick Quiz section on the home page,,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2=Likely,{},CGAA-113,,1|i0059j:,,,,,,,,
GAA admin reviews quiz reports,CGAA-165,12106,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,nicl,nicl,12/May/14 9:23 AM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,"As a GAA admin
I can view reports on quizzes taken
so that I can determine where information is needed in GAA",,nicl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2=Likely,{},CGAA-113,,1|i00593:,,,,,,,,
Desktop editor post to Drupal site,CGAA-197,12150,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,15/May/14 6:41 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,Story - As a content creator I can write with a desktop text editor and submit it to the Drupal site.  I need to embed links and bullets,,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-113,,1|i0058v:,,,,,,,,
Quizzes question types include multiple choice and true/false questions,CGAA-180,12123,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,13/May/14 9:22 AM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,As an administrator of the Go Ask Alice website I would like to include multiple choice and true/false questions to quick quizzes on the site,,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2=Likely,{},CGAA-113,,1|i0058n:,,,,,,,,
Anonymous user subscribes to updates from goaskalice,CGAA-359,15177,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,10/Jan/15 3:04 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,,,"*Feature*
As an anonymous user, I can subscribe to updates from goaskalice (get alice in your inbox)",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3=Possible,{},CGAA-113,,1|i0058f:,,,,,,,,
Site visitor views scrolling list of raves,CGAA-374,15194,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,11/Jan/15 2:10 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,Accessibility,,"*Feature*
As a site visitor
I am presented with a rotating banner of raves about the Go Ask Alice! site
to let me know what other visitors think about the site

*Scenario*
As a site visitor I am presented with a rotating banner containing text from site raves
*Accessibility considerations*
I should have a way to stop this banner as changing content may disrupt my focus, the keyboard focus, or screen reader focus.  I should be able to read each rave, however, ARIA should not be used to communicate this messaging to me as it may make it impossible for me to read anything else on the page.
",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-113,,1|i00587:,,,,,,,,
Site visitor uses social media on the GAA site,CGAA-193,12137,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,14/May/14 12:13 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,Accessibility,,"*Feature*
As a site visitor
I utilize social media share functionality 
to share information I find on the Go Ask Alice! site on the common social media sites

*Scenario*
As a site visitor viewing a question
I share a question on the common social media sites

*Scenario*
As a site visitor viewing a question
I like a question on facebook

*Scenario*
As a site visitor viewing a question
I can view the total number of facebook likes for a question

*Scenario*
As a site visitor viewing a question
I can +1 a question on google

*Scenario*
As a site visitor viewing a listing on the Go Ask Alice! site
I can utilize the social media functions of share, like and google plus

*Accessibility considerations*
It should be noted that social media sites have a great deal of control over their various share buttons, so our ability to influence accessibility may be limited.  That said, I should be able to navigate to and identify each share control.  

",,amanda,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2=Likely,{},CGAA-113,,1|i0057z:,,,,2014-05-20 17:03:12.426,"20/May/14 1:03 PM;amanda;I have a fight with my friend about whether or not sweating releases toxins (true story). I believe it does not, but she does. I look for the answer on Go Ask Alice! because I trust the site to provide reliable information. I find the question and answer and hit the ""Share"" on facebook button on the Q&A and tag my friend so she knows that sweating out toxins is a myth.",,,
Site visitor accesses Health information sheets,CGAA-282,15100,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,14/Dec/14 10:56 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,Accessibility,,"*Feature*
As an anonymous site visitor
I would like to access health information sheets
in order to get health information and resources both on-campus and off-campus that I can print

*Accessibility considerations*
I need to be able to browse to and know which information sheet I'm choosing.  PDFs should also be marked up in such a way that they are accessible.",,leslieg,,,,,,,,,,,,,CGAA-598,CGAA-241,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-113,,1|i0057r:,,,,,,,,
Site visitor uses themes to view related questions,CGAA-190,12134,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,14/May/14 12:10 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,Accessibility,,"*Feature*
As a site visitor
view groups of related questions in a theme
in order to learn more about a timely issue

*Scenario*
As a site visitor
I choose the theme of the week from the homepage
to quickly review the most recent theme

*Scenario*
As a site visitor
I view a listing of all published themes
to determine which themes interest me
*Accessibility considerations*
I am able to read and choose each theme.  I am able to navigate between resulting content once a theme is chosen.
",,kathlynw,kay v,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2=Likely,{},CGAA-113,,1|i0057j:,,,,2014-05-19 20:06:41.462,"19/May/14 4:06 PM;kathlynw;As a site visitor, I look at themes as a quick way to see related questions on a current topic of interest. I may have gone directly to the GAA! site and clicked on the theme questions, clicked on a link from the Get Alice! in your Box email, or from the ""Fun Stuff"" tab on the website (which allows me to view previous week's themes as well). I am able to learn more about a time-specific issue (like immunizations and infectious disease-related Q&As during a measles outbreak), an interesting collection of related Q&As (like ""Smell You Later"" with body odor-related Q&As), or an upcoming event (like stress and life transition-related Q&As prior to graduation).",21/May/14 8:05 AM;kay v;Noted - thanks!,,
Anonymous user gets immediate results of quiz they take,CGAA-178,12121,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,13/May/14 9:20 AM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,Accessibility,,"*Feature*
As Quiz taker
I get immediate feedback on how many questions I answered correctly, which questions I answered incorrectly and what the correct answers were to all the questions
so I can better access my knowledge of the subject

*Scenario*
As a quiz taker indicating that I have completed a quiz
I am shown my score for the quiz

*Scenario*
As a quiz taker indicating that I have completed a quiz
I am shown each question with an indication as to whether I answered the question correctly or not

*Scenario*
As a quiz taker indicating that I have completed a quiz
I am shown my answer and the correct answer to each question on the quiz 

*Accessibility considerations*
If correct and incorrect answers are presented in a summary, I need to be sure I know which correct answer goes with which question.  A table or definition list could be used to convey this to me.  If the original quiz is shown with answers marked, alt text can be used to denote ""correct"" or ""incorrect"" on graphics preceding my chosen answer and the correct answer.  This would enable me to read through my quiz and, because of the alt attributes, know which answers were correct and which were not.

",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1=High,{},CGAA-113,,1|i0056v:,,,,,,,,
Site visitor takes quiz to assess knowledge,CGAA-177,12120,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,13/May/14 9:18 AM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,Accessibility,,"*Feature*
As an anonymous user on the Go Ask Alice website
I access a quiz and answer the questions
to assess my knowledge of the subject area.

*Scenario*
As a site visitor
I select a quiz from the Go Ask Alice! home page
to take the quiz and access my knowledge of the subject area

*Scenario*
As a site visitor taking a Go Ask Alice! quiz
I answer a multiple choice question by selecting a radio button, a checkbox, or multiple checkboxes
to make my selection

*Scenario*
As a site visitor taking a Go Ask Alice! quiz
I have an option to select all of the above
so I must be able to read all answers before selecting an answer

*Scenario*
As a site visitor taking a Go Ask Alice! quiz
I answer a true/false question by selecting a radio button
to make my selection

*Scenario*
As a site visitor taking a Go Ask Alice! quiz
I use the navigational controls
to navigate through the quiz

*Accessibility considerations*
Using my assistive technology, I must be able to interact with each control.  As such, each control should be properly labeled and should be given field sets and legends.  In this way, there will be no confusion about which question I am answering.

Navigation controls should also be accessible to me.  I should be able to determine where I am in the flow and what will come next.  There are a few ways to accomplish this mainly using off screen text in navigation anchors.  For example, the word [current] could be added to the end of the anchor denoting my current step in the flow.  Although not required, [completed] could be appended off screen to those steps that I have already completed.  


",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1=High,{},CGAA-113,,1|i0056n:,,,,,,,,
Provide a warning that the user is leaving the site before accessing external websites,CGAA-194,12138,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,14/May/14 12:14 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,Accessibility,,"*Feature*
As a site visitor accessing a hyperlink to content hosted outside of the Go Ask Alice! site
I am notified that I am leaving the Go Ask Alice! site
so I am aware that the content I am bout to view is not part of the Go Ask Alice! website

*Scenario*
As a site visitor I select the option to view Go Ask Alice on Facebook
and I am presented with information letting me know that I am leaving the Go Ask Alice website
including a count down timer of when the redirection will take place
*Accessibility considerations*
The modal or other interstitial dialog should be accessible to me.  It should immediately gain keyboard and screen reader focus and using ARIA roles of dialog and document, i should be able to identify this as a dialog and should be able to read its contents.  In addition, I should be able to cancel the redirection by pressing escape.

I am very concerned about the timer functionality.  If I use a switch or have other severe motor impairments, I may not be able to respond before I am redirected.  Rather than a timer, I would like to have the choice to either ""continue"" to the third party site, or ""cancel"" and return.

An example of an accessible modal implementation can be found here:  http://accessibility.oit.ncsu.edu/training/aria/modal-window/version-2/

",,amanda,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3=Possible,{},CGAA-113,,1|i0056f:,,,,2014-05-20 17:14:45.803,"20/May/14 1:14 PM;amanda;I am a GAA! site user reading up about probiotics and yogurt. I stumble across the question, Will probiotic-enriched yogurt aid digestion?: http://goaskalice.columbia.edu/will-probiotic-enriched-yogurt-aid-digestion

The answer begins discussing marketing and foods; in particular, ""functional foods,"" which is hyperlinked. I'm not sure what ""functional foods"" are, so I follow the hyperlink. I receive a notice that I am leaving the Go Ask Alice! site which provides me with context once I land on the Academy of Nutrition and Dietetics website. I am fully aware that I'm no longer accessing information from GAA!.","11/Jun/15 3:00 PM;leslieg;The modal window on http://gaacrrc19jsqeqv2dj.devcloud.acquia-sites.com/ is empty when clicking on an external link

2. A modal window with the warning does not appear when clicking the link to view the Mollom privacy policy http://gaacrrc19jsqeqv2dj.devcloud.acquia-sites.com/node/add/question",,
Reader views snippets of answer using search,CGAA-219,13133,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,12/Aug/14 4:29 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,Accessibility,,"*Feature*
As an anonymous user 
I can search the site
to locate information I am interested in

*Scenario*
As an anonymous user 
I enter alcohol poisoning as a search term
and snippets of Q&As that have alcohol poisoning in the question or answer 
are displayed

*Scenario*
As an anonymous user 
I enter alcohol poisoning as a search term
and a reader response that includes the search term of alcohol poisoning is not displayed

Original story from Katie:
As a reader, I am able to see snippets of the answer of a question in the results after using the current search appliance. However, the current search appliance sometimes displays snippets of the reader responses attached to assigned submissions rather than the answer to the question, in error. Viewing these reader response snippets rather than the actual answer can be misleading and confusing for the reader. Ideally, as managers for the site, we would like to only have the text of the question's answer (and never the reader responses) in the snippets that populate in the search results for a reader using the site's search appliance.
*Accessibility considerations*
I need a way to efficiently navigate between snippets, they might appear as unordered list items, or might have headings denoting the beginning of each one.
",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1=High,{},CGAA-113,,1|i0055z:,,,,,,,,
Site visitor prints a hard copy of a Q&A,CGAA-192,12136,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,14/May/14 12:13 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,Sprint 1,,0,Accessibility,,"*Feature*
As an anonymous visitor to the site
I print a question with the answer and responses
so I can take it with me

*Scenario*
As a health educator helping a student with a question, 
I can check the Go Ask Alice! site for the question
and can print out a hardcopy of the question and answer for the student to take with them
*Accessibility considerations*
It is important to note here that the goal of this story is for the user to create a printout and that the created printout may not be accessible.  If this process generates a PDF for printing, accessibility markup can be added to the generated PDF, however, this may not be required.

As an assistive technology user, I need to:
* Have a clearly labeled control indicating that I will be printing something.
* If this will result in a document opening  in a PDF viewer, it would be nice to know this, however, not required.
",,amanda,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2=Likely,{},CGAA-113,,1|i0055r:,,,,2014-05-20 16:52:28.838,"20/May/14 12:52 PM;amanda;I am a health educator at a student health center. A student asks me a question, and I'm not sure of the answer. We visit the Go Ask Alice! site to see if the question is answered there. We find the answer to our question and discuss. Once we finish, I print the question and answer for my student to take.",,,
Site visitor rates a question,CGAA-191,12135,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,14/May/14 12:11 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,Accessibility,,"*Feature*
As a site visitor 
I can rate a question 
to let other site visitors know how the value I assign to the question

*Scenario*
As a site visitor
I select the number of starts to assign to a question
to give my rating of the question
*Accessibility considerations*
I need to be sure that I am choosing the correct rating.  If radio buttons are used, they should be clearly labeled and should be given a legend and field set.  If a drop-down is used, each item within the drop-down should be easy to understand.  If non-custom controls are used, it is important that I can determine name, role, value, i.e. what is the name of the control, is it a link/button/how do I interact with it and is it currently selected.  
",,amanda,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1=High,{},CGAA-113,,1|i0055j:,,,,2014-05-20 16:40:46.901,"20/May/14 12:40 PM;amanda;As a user visiting the Go Ask Alice! site, I read a Q&A about talking to a friend about a serious issue. I read the answer and think it provides great information. I don't need to comment on the Q&A, but I do want to show my approval of the answer by giving it five stars.","20/May/14 12:41 PM;amanda;As a user of the site, I run across an answer that I think is awful. It doesn't actually answer what the reader is asking and I think it could be better. I mark the question as one star.",,
Site visitor views other reader responses,CGAA-325,15143,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,27/Dec/14 11:10 AM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,Sprint 1,,0,Accessibility,,"*Feature*
As a anonymous site visitor
I have access to view published reader responses in reverse chronological order
so I can see responses to the question I am viewing
*Accessibility considerations*
I want to be sure a mechanism exists to enable me to quickly skip from one comment to another.  Perhaps each comment could be an item in an unordered list?  The name of each commenter could also be marked up as a heading, however, this may have SEO implications.
",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3=Possible,{},CGAA-113,,1|i0055b:,,,,,,,,
Site visitor views related questions,CGAA-376,15196,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,ssawczyn,leslieg,leslieg,11/Jan/15 2:23 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,Accessibility,,"*Feature*
As a site visitor viewing a Q&A
I am presented with a list of related question links
to allow me to access other questions on the same subject
*Accessibility considerations*
These links should be presented as an unordered list, so that my assistive technology conveys the list relationship.  In addition, links should clearly indicate where they will take me.  Terms like ""click here"" ""view more"" are strongly discouraged because they do not clearly indicate what will happen if activated.

*Feature*
As a site visitor viewing a Q&A
In order more easily to find related questions
I can get a fly-out menu of links to them at the top of the page (see http://goaskalice.columbia.edu/meditation )",,kay v,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1=High,{},CGAA-113,,1|i0054v:,,,,2015-02-12 15:48:34.877,"12/Feb/15 10:48 AM;kay v;just now spotted the related questions fly-out feature and added it to the bottom of this ticket's description field along with a link. [~ssawczyn], can you add considerations?

/cc 
[~amanda]
[~kathlynw]
[~leslieg]",,,
Anonymous user cannot edit anything,CGAA-290,15108,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,19/Dec/14 8:00 AM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,Sprint 1,,0,Accessibility,,"*Feature*
As an anonymous user
I cannot edit any content that I have added
in order to ensure that content that has gone through the editorial workflow process is not changed.

*Scenario*
As an anonymous user viewing a question that I had added
I do not have an option to edit the question
*Accessibility considerations*
If my information appears in an edit field, ARIA-disabled=""true"" should be added to the div containing the disabled fields.  In this way, my assistive technology will convey to me that I am unable to make any edits.
",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1=High,{},CGAA-113,,1|i0054f:,,,,,,,,
Accessibility concerns around spam control,CGAA-316,15134,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,leslieg,leslieg,leslieg,23/Dec/14 8:16 PM,12/Aug/15 3:25 PM,13/Feb/18 9:40 PM,,,,,0,Accessibility,discuss_with_mollom,"*Feature*
As a site visitor adding a question
I respond to a captcha-like request
to let the site admins know that I am most likely not an automated bot

Provide thinking on best practices for controlling spam while taking accessibility into consideration",,kay v,leslieg,ssawczyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1=High,{},CGAA-113,,1|i00547:,,,,2015-01-01 05:40:43.103,"01/Jan/15 12:40 AM;ssawczyn;Using CAPTCHAs to cut down on spam unfortunately present numerous accessibility challenges.  For example, a blind person – or even a person with low vision – will not be able to see the distorted characters.  Some CAPTCHA solutions offer an audio alternative, however this alternative is often severely garbled to the point where it’s almost impossible to understand.  If a CAPTCHA must be used, then at a minimum, alt text is required to indicate the purpose of the graphical characters.  In addition, there should be an alternative method for solving the CAPTCHA such as a link that triggers an audio-based CAPTCHA.  That said, there are a few solutions that employ a logic puzzle as the CAPTCHA.  For example, “How many letters are in the word “wastebaskets”” “What letter comes after G?””  Some implementations of this can be found at http://textcaptcha.com/

Ideally, non-CAPTCHA methods can be used to help limit spam, many plugins exist to help with this process.  Where this is not possible, however, logic puzzles present a relatively safe and accessible alternative.  At the very least, a CAPTCHA solution should have alt text explaining the purpose of the graphical characters and should have a link to allow for an alternative method such as audio.

Please let me know if I can help further, or if there are additional questions.

Thanks,

Steve


","29/Jan/15 11:27 AM;kay v;Our hope is honeypot and mollom will handle most spam without a captcha being introduced. However, mollom relies on captcha as a fallback. TextCaptcha sounds like a good alternative to try out / discuss with a mollom engineer. There is also a drupal module: https://www.drupal.org/project/textcaptcha

[~ssawczyn] any insights on cognitive disabilities wrt textcaptcha?",,
